Cod_localidad;Área;Nacidos con bajo peso;Nacidos vivos;Porcentaje BPN;Año;
1;Usaquén;820;6226;13,2;2012;
2;Chapinero;298;2082;14,3;2012;
3;Santa Fe;226;1688;13,4;2012;
4;San Cristóbal;914;6491;14,1;2012;
5;Usme;787;6006;13,1;2012;
6;Tunjuelito;341;2931;11,6;2012;
7;Bosa;1319;10393;12,7;2012;
8;Kennedy;1998;15621;12,8;2012;
9;Fontibón;539;4427;12,2;2012;
10;Engativá;1206;9631;12,5;2012;
11;Suba;1876;14448;13;2012;
12;Barrios Unidos;219;1679;13;2012;
13;Teusaquillo;170;1218;14;2012;
14;Los Mártires;187;1302;14,4;2012;
15;Antonio Nariño;138;1120;12,3;2012;
16;Puente Aranda;352;3042;11,6;2012;
17;La Candelaria;55;387;14,2;2012;
18;Rafael Uribe Uribe;779;5777;13,5;2012;
19;Ciudad Bolívar;1392;10757;12,9;2012;
20;Sumapaz;4;44;9,1;2012;
0;Distrito;13629;105314;12,9;2012;
1;Usaquén;740;5969;12,4;2013;
2;Chapinero;257;1969;13,1;2013;
3;Santa Fe;251;1688;14,9;2013;
4;San Cristóbal;783;6129;12,8;2013;
5;Usme;756;5577;13,6;2013;
6;Tunjuelito;373;2926;12,7;2013;
7;Bosa;1218;10109;12;2013;
8;Kennedy;2032;15227;13,3;2013;
9;Fontibón;514;4380;11,7;2013;
10;Engativá;1153;9524;12,1;2013;
11;Suba;1859;14694;12,7;2013;
12;Barrios Unidos;205;1702;12;2013;
13;Teusaquillo;198;1357;14,6;2013;
14;Los Mártires;168;1215;13,8;2013;
15;Antonio Nariño;175;1341;13;2013;
16;Puente Aranda;380;3079;12,3;2013;
17;La Candelaria;54;379;14,2;2013;
18;Rafael Uribe Uribe;719;5797;12,4;2013;
19;Ciudad Bolívar;1407;10070;14;2013;
20;Sumapaz;3;41;7,3;2013;
0;Distrito;13253;103237;12,8;2013;
1;Usaquén;738;6046;12,2;2014;
2;Chapinero;229;1937;11,8;2014;
3;Santa Fe;234;1641;14,3;2014;
4;San Cristóbal;816;6296;13;2014;
5;Usme;725;5334;13,6;2014;
6;Tunjuelito;343;2783;12,3;2014;
7;Bosa;1104;9886;11,2;2014;
8;Kennedy;1787;15065;11,9;2014;
9;Fontibón;487;4395;11,1;2014;
10;Engativá;1209;10061;12;2014;
11;Suba;1880;14833;12,7;2014;
12;Barrios Unidos;183;1634;11,2;2014;
13;Teusaquillo;183;1487;12,3;2014;
14;Los Mártires;157;1281;12,3;2014;
15;Antonio Nariño;167;1280;13;2014;
16;Puente Aranda;348;3183;10,9;2014;
17;La Candelaria;47;414;11,4;2014;
18;Rafael Uribe Uribe;652;5504;11,8;2014;
19;Ciudad Bolívar;1365;10563;12,9;2014;
20;Sumapaz;7;35;20;2014;
0;Distrito;12700;103842;12,2;2014;
1;Usaquén;726;6366;11,4;2015;
2;Chapinero;245;1927;12,7;2015;
3;Santa Fe;171;1540;11,1;2015;
4;San Cristóbal;814;6028;13,5;2015;
5;Usme;771;5471;14,1;2015;
6;Tunjuelito;329;2709;12,1;2015;
7;Bosa;1217;10436;11,7;2015;
8;Kennedy;1748;15009;11,6;2015;
9;Fontibón;470;4262;11;2015;
10;Engativá;1130;9381;12;2015;
11;Suba;1796;14825;12,1;2015;
12;Barrios Unidos;185;1572;11,8;2015;
13;Teusaquillo;158;1302;12,1;2015;
14;Los Mártires;139;1171;11,9;2015;
15;Antonio Nariño;148;1195;12,4;2015;
16;Puente Aranda;366;3084;11,9;2015;
17;La Candelaria;52;344;15,1;2015;
18;Rafael Uribe Uribe;655;5379;12,2;2015;
19;Ciudad Bolívar;1293;10321;12,5;2015;
20;Sumapaz;6;37;16,2;2015;
0;Distrito;12487;102778;12,1;2015;
1;Usaquén;781;6226;12,5;2016;
2;Chapinero;252;2045;12,3;2016;
3;Santa Fe;144;1363;10,6;2016;
4;San Cristóbal;726;5788;12,5;2016;
5;Usme;786;5509;14,3;2016;
6;Tunjuelito;328;2618;12,5;2016;
7;Bosa;1185;10071;11,8;2016;
8;Kennedy;1789;14139;12,7;2016;
9;Fontibón;533;4213;12,7;2016;
10;Engativá;1071;8804;12,2;2016;
11;Suba;1708;13748;12,4;2016;
12;Barrios Unidos;199;1555;12,8;2016;
13;Teusaquillo;172;1249;13,8;2016;
14;Los Mártires;133;1094;12,2;2016;
15;Antonio Nariño;161;1225;13,1;2016;
16;Puente Aranda;352;2849;12,4;2016;
17;La Candelaria;38;261;14,6;2016;
18;Rafael Uribe Uribe;692;5382;12,9;2016;
19;Ciudad Bolívar;1271;9788;13;2016;
20;Sumapaz;1;22;4,5;2016;
0;Distrito;12419;98653;12,6;2016;
1;Usaquén;732;5931;12,3;2017;
2;Chapinero;291;1971;14,8;2017;
3;Santa Fe;226;1571;14,4;2017;
4;San Cristóbal;763;5213;14,6;2017;
5;Usme;684;5206;13,1;2017;
6;Tunjuelito;289;2419;11,9;2017;
7;Bosa;1194;9425;12,7;2017;
8;Kennedy;1768;13364;13,2;2017;
9;Fontibón;475;3774;12,6;2017;
10;Engativá;1037;8177;12,7;2017;
11;Suba;1770;13254;13,4;2017;
12;Barrios Unidos;199;1452;13,7;2017;
13;Teusaquillo;129;1194;10,8;2017;
14;Los Mártires;147;1041;14,1;2017;
15;Antonio Nariño;105;1026;10,2;2017;
16;Puente Aranda;300;2431;12,3;2017;
17;La Candelaria;51;338;15,1;2017;
18;Rafael Uribe Uribe;613;4686;13,1;2017;
19;Ciudad Bolívar;1302;9362;13,9;2017;
20;Sumapaz;3;19;15,8;2017;
0;Distrito;12107;92054;13,2;2017;
1;Usaquén;702;5482;12,8;2018;
2;Chapinero;256;1657;15,4;2018;
3;Santa Fe;199;1533;13;2018;
4;San Cristóbal;748;4669;16;2018;
5;Usme;749;4972;15,1;2018;
6;Tunjuelito;293;2314;12,7;2018;
7;Bosa;1224;9108;13,4;2018;
8;Kennedy;1600;12357;12,9;2018;
9;Fontibón;480;3711;12,9;2018;
10;Engativá;1043;7990;13,1;2018;
11;Suba;1574;12118;13;2018;
12;Barrios Unidos;182;1338;13,6;2018;
13;Teusaquillo;159;1187;13,4;2018;
14;Los Mártires;147;1082;13,6;2018;
15;Antonio Nariño;110;918;12;2018;
16;Puente Aranda;288;2288;12,6;2018;
17;La Candelaria;32;250;12,8;2018;
18;Rafael Uribe Uribe;646;4626;14;2018;
19;Ciudad Bolívar;1282;9379;13,7;2018;
20;Sumapaz;6;34;17,6;2018;
0;Distrito;11749;87191;13,5;2018;
1;Usaquén;699;5228;13,4;2019;
2;Chapinero;222;1613;13,8;2019;
3;Santa Fe;252;1685;15;2019;
4;San Cristóbal;704;4341;16,2;2019;
5;Usme;681;4706;14,5;2019;
6;Tunjuelito;345;2196;15,7;2019;
7;Bosa;1291;8953;14,4;2019;
8;Kennedy;1607;11883;13,5;2019;
9;Fontibón;447;3546;12,6;2019;
10;Engativá;1018;7699;13,2;2019;
11;Suba;1605;11974;13,4;2019;
12;Barrios Unidos;177;1270;13,9;2019;
13;Teusaquillo;167;1283;13;2019;
14;Los Mártires;173;1308;13,2;2019;
15;Antonio Nariño;137;951;14,4;2019;
16;Puente Aranda;302;2410;12,5;2019;
17;La Candelaria;30;281;10,7;2019;
18;Rafael Uribe Uribe;636;4578;13,9;2019;
19;Ciudad Bolívar;1344;9016;14,9;2019;
20;Sumapaz;3;27;11,1;2019;
0;Distrito;11865;85075;13,9;2019;
1;Usaquén;596;4564;13,1;2020;
2;Chapinero;194;1422;13,6;2020;
3;Santa Fe;209;1511;13,8;2020;
4;San Cristóbal;664;4156;16;2020;
5;Usme;672;4417;15,2;2020;
6;Tunjuelito;286;2048;14;2020;
7;Bosa;1081;8508;12,7;2020;
8;Kennedy;1445;10916;13,2;2020;
9;Fontibón;417;3117;13,4;2020;
10;Engativá;884;7036;12,6;2020;
11;Suba;1502;11248;13,4;2020;
12;Barrios Unidos;177;1276;13,9;2020;
13;Teusaquillo;123;1093;11,3;2020;
14;Los Mártires;159;1207;13,2;2020;
15;Antonio Nariño;124;995;12,5;2020;
16;Puente Aranda;307;2247;13,7;2020;
17;La Candelaria;35;236;14,8;2020;
18;Rafael Uribe Uribe;611;4436;13,8;2020;
19;Ciudad Bolívar;1228;8731;14,1;2020;
20;Sumapaz;6;42;14,3;2020;
0;Distrito;10731;79322;13,5;2020;
1;Usaquén;573;4146;13,8;2021;
2;Chapinero;194;1261;15,4;2021;
3;Santa Fe;188;1244;15,1;2021;
4;San Cristóbal;625;3589;17,4;2021;
5;Usme;621;3810;16,3;2021;
6;Tunjuelito;235;1727;13,6;2021;
7;Bosa;1063;7077;15;2021;
8;Kennedy;1349;9187;14,7;2021;
9;Fontibón;362;2694;13,4;2021;
10;Engativá;779;5619;13,9;2021;
11;Suba;1413;9547;14,8;2021;
12;Barrios Unidos;138;972;14,2;2021;
13;Teusaquillo;99;819;12,1;2021;
14;Los Mártires;156;1039;15;2021;
15;Antonio Nariño;136;792;17,2;2021;
16;Puente Aranda;288;1906;15,1;2021;
17;La Candelaria;25;179;14;2021;
18;Rafael Uribe Uribe;569;3621;15,7;2021;
19;Ciudad Bolívar;1140;7622;15;2021;
20;Sumapaz;7;35;20;2021;
0;Distrito;9975;66988;14,9;2021;
1;Usaquén;612;4194;14,6;2022;
2;Chapinero;165;1201;13,7;2022;
3;Santa Fe;183;1145;16,0;2022;
4;San Cristóbal;602;3276;18,4;2022;
5;Usme;589;3557;16,6;2022;
6;Tunjuelito;238;1575;15,1;2022;
7;Bosa;976;6690;14,6;2022;
8;Kennedy;1280;9014;14,2;2022;
9;Fontibón;393;2733;14,4;2022;
10;Engativá;791;5726;13,8;2022;
11;Suba;1408;9495;14,8;2022;
12;Barrios Unidos;143;1008;14,2;2022;
13;Teusaquillo;135;953;14,2;2022;
14;Los Mártires;130;932;13,9;2022;
15;Antonio Nariño;103;743;13,9;2022;
16;Puente Aranda;268;1812;14,8;2022;
17;La Candelaria;33;196;16,8;2022;
18;Rafael Uribe Uribe;592;3499;16,9;2022;
19;Ciudad Bolívar;1206;6943;17,4;2022;
20;Sumapaz;2;23;8,7;2022;
0;Distrito;9858;64730;15,2;2022;
1;Usaquén;569;3970;14,3;2023p ;
2;Chapinero;178;1189;15,0;2023p ;
3;Santa Fe;180;1063;16,9;2023p ;
4;San Cristóbal;535;2909;18,4;2023p ;
5;Usme;594;3243;18,3;2023p ;
6;Tunjuelito;240;1430;16,8;2023p ;
7;Bosa;996;6189;16,1;2023p ;
8;Kennedy;1324;8314;15,9;2023p ;
9;Fontibón;397;2653;15,0;2023p ;
10;Engativá;886;5765;15,4;2023p ;
11;Suba;1422;9119;15,6;2023p ;
12;Barrios Unidos;150;910;16,5;2023p ;
13;Teusaquillo;120;881;13,6;2023p ;
14;Los Mártires;171;927;18,4;2023p ;
15;Antonio Nariño;104;722;14,4;2023p ;
16;Puente Aranda;262;1745;15,0;2023p ;
17;La Candelaria;25;168;14,9;2023p ;
18;Rafael Uribe Uribe;487;3246;15,0;2023p ;
19;Ciudad Bolívar;1146;6389;17,9;2023p ;
20;Sumapaz;5;30;16,7;2023p ;
21;Sin dato;2;21;9,5;2023p ;
0;Distrito;9793;60883;16,1;2023p ;
